Beach,Mentor ,Type,Season,Date,Month,Meso Fragmented Plastic,Macro Fragmented Plastic,Total Fragmented Plastic,Meso Plastic Products,Macro Plastic Products,Total Plastic Products,Meso Food Wrappers,Macro Food Wrappers,Total Food Wrappers,Meso Styrofoam,Macro Styrofoam,Total Styrofoam,Meso Cigarette Butts,Macro Cigarette Butts,Total Cigarette Butts,Meso Paper/ Treated Wood,Macro Paper/ Treated Wood,Total Paper/ Treated Wood,Meso Metal,Macro Metal,Total Metal,Meso Glass,Macro Glass,Total Glass,Meso Fabric,Macro Fabric,Total Fabric,Meso Fetilizer Pellets,Macro Fetilizer Pellets,Total Fetilizer Pellets,Meso Fishing Gear,Macro Fishing Gear,Total Fishing Gear,Meso Rubber,Macro Rubber,Total Rubber,Meso Other,Macro Other,Total Other,Total Meso Debris,Total Macro Debris,TOTAL DEBRIS,Accumlation (Items/m²),Abundance (Items/m²),Notes ,Data Notes,KEY:,
Waddell,Amber,R,Winter,2/9/2019,February,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1.25,0.208333333,,,,
Capitola,Draven,U,Winter,2/10/2019,February,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Live Oak,Gabby,U,Winter,2/10/2019,February,15,17,32,0,1,1,0,0,0,54,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,19,88,22,3.666666667,,,,
Main Beach,Lexi ,U,Winter,2/10/2019,February,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0.5,0.083333333,Did wrong side of pier,,,
Marina,Zina,U,Winter,2/10/2019,February,0,1,1,0,0,0,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1.75,0.291666667,,,,
Natural Bridges,Karolina,U,Winter,2/10/2019,February,8,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,2.25,0.375,,,,
Seabright,Andrew,U,Winter,2/10/2019,February,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.25,0.208333333,,,,
Seaside,Sally,U,Winter,2/10/2019,February,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,2,0.333333333,,,,
Sunset,Alma,R,Winter,2/10/2019,February,75,1,76,0,0,0,0,0,0,14,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,7,96,24,4,,,,
Zmudowski North,Jack,R,Winter,2/10/2019,February,0,0,0,1,4,5,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,7,9,2.25,0.375,,,,
Zmudowski South,Xena,R,Winter,2/10/2019,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Del Monte,Amber,U,Winter,3/2/2019,March,0,4,4,0,1,1,0,0,0,3,0,3,3,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,3,0.5,,,,
Capitola,Lexi,U,Winter,3/3/2019,March,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Live Oak,Zina,U,Winter,3/3/2019,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Main Beach,Xena,U,Winter,3/3/2019,March,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,2,0.333333333,,,,
Marina,Alma,U,Winter,3/3/2019,March,0,1,1,0,1,1,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,7,1.75,0.291666667,,,,
Seabright,Brent,U,Winter,3/3/2019,March,4,1,5,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,0,0,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13,3.25,0.541666667,,,,
Natural Bridges,Sally,U,Winter,3/10/2019,March,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,0.75,0.125,,,,
Waddell,Karolina,R,Winter,3/10/2019,March,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.75,0.125,,,,
Seaside,Jack,U,Winter,3/11/2019,March,26,4,30,6,1,7,0,0,0,17,1,18,2,0,2,0,2,2,0,0,0,2,2,4,0,0,0,1,0,1,0,0,0,0,0,0,10,2,12,64,12,76,19,3.166666667,,,,
Sunset,Gabby,R,Winter,3/23/2019,March,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Zmudowski South,TRAINING,R,Spring,4/6/2019,April,0,0,0,0,2,2,0,0,0,6,1,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,2.75,0.458333333,,,,
Live Oak,Amber,U,Spring,4/7/2019,April,0,1,1,0,0,0,0,0,0,4,0,4,0,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,2.5,0.416666667,,,,
Capitola,Elise,U,Spring,4/14/2019,April,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.75,0.125,,,,
Del Monte,Andrew,U,Spring,4/14/2019,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.25,0.041666667,Other = tar,,,
Main Beach,Karolina,U,Spring,4/14/2019,April,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0.166666667,,,,
Marina,Xena,U,Spring,4/14/2019,April,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.083333333,,,,
Natural Bridges,Alma,U,Spring,4/14/2019,April,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Seabright,Brent,U,Spring,4/14/2019,April,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,1.25,0.208333333,,,,
Sunset,Zina,R,Spring,4/14/2019,April,0,0,0,0,4,4,0,1,1,2,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,1.75,0.291666667,,,,
Waddell,Jack,R,Spring,4/14/2019,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Gabby,R,Spring,4/14/2019,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Seaside,Karolina,U,Spring,5/5/2019,May,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Del Monte,Xena,U,Spring,5/11/2019,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0.166666667,,,,
Marina,Gabby,U,Spring,5/11/2019,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski South,Jack,R,Spring,5/11/2019,May,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0.166666667,,,,
Capitola,Brent,U,Spring,5/12/2019,May,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0.75,0.125,,,,
Main Beach,Zina,U,Spring,5/12/2019,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sunset,Elise,R,Spring,5/12/2019,May,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Waddell,Amber,R,Spring,5/12/2019,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Andrew,R,Spring,5/12/2019,May,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Live Oak,Sally,U,Spring,5/19/2019,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0.333333333,,,,
Seabright,Alma,U,Spring,5/19/2019,May,4,6,10,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,7,12,8,20,5,0.833333333,other = wax,,,
Natural Bridges,"Karolina, Amber & Gabby",U,Spring,5/20/2019,May,1,0,1,0,3,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,1.75,0.291666667,,,,
Live Oak,Gabby,U,Spring,6/1/2019,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Seabright,Xena//Training ,U,Spring,6/1/2019,June,0,0.5,0.5,0.5,1,1.5,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,3.5,0.875,0.145833333,,Combined between 2 surveys,,
Seaside,Jack,U,Spring,6/1/2019,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Capitola,Andrew,U,Spring,6/2/2019,June,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.75,0.125,,,,
Del Monte,Zina,U,Spring,6/2/2019,June,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2.25,0.375,,,,
Natural Bridges,Sally,U,Spring,6/2/2019,June,1,2,3,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1.5,0.25,,,,
Sunset,Amber,R,Spring,6/2/2019,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.25,0.041666667,,,,
Zmudowski South,Karolina,R,Spring,6/2/2019,June,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Waddell,"Karolina, Amber & Alma",R,Spring,6/3/2019,June,5,0,5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,1.75,0.291666667,,,,
Zmudowski North,Brent,R,Spring,6/3/2019,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Main Beach,"Karolina, Amber & Gabby",U,Spring,6/5/2019,June,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0.75,0.125,,,,
Main Beach,Training,U,Summer,7/6/2019,July,3,0,3,1,1,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,2,0.333333333,,,,
Del Monte,Ana,U,Summer,7/7/2019,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Marina,Alma,U,Summer,7/7/2019,July,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1.25,0.208333333,,,,
Seaside,Draven,U,Summer,7/7/2019,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sunset,Christina,R,Summer,7/7/2019,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Amber,R,Summer,7/7/2019,July,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,1.25,0.208333333,,,,
Zmudowski South,Gabby,R,Summer,7/7/2019,July,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,7,1.75,0.291666667,,,,
Capitola,Andrew,U,Summer,7/14/2019,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.75,0.125,,,,
Live Oak,Amber,U,Summer,7/21/2019,July,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Waddell,"Karolina, Amber & Gabby",R,Summer,7/23/2019,July,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Natural Bridges,"Karolina, Amber & Gabby",U,Summer,7/30/2019,July,1,1,2,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1.25,0.208333333,,,,
Seabright,Amber,U,Summer,8/3/2019,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2,1,3,0.75,0.125,,,,
Seaside,Gabrielle,U,Summer,10-Aug,August,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.083333333,,,,
Capitola,Christina,U,Summer,8/11/2019,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Del Monte,Alma,U,Summer,8/11/2019,August,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0.166666667,,,,
Main Beach,Christina,U,Summer,8/11/2019,August,0,1,1,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1.5,0.25,,,,
Marina,Amber,U,Summer,8/11/2019,August,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1.25,0.208333333,,,,
Sunset,Ana,R,Summer,8/11/2019,August,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Zmudowski North,Roxy,R,Summer,8/11/2019,August,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Live Oak,Draven,U,Summer,8/17/2019,August,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Zmudowski South,Draven,R,Summer,8/18/2019,August,0,1,1,0,2,2,0,0,0,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2.25,0.375,,,,
Natural Bridges,Amber & Gabby,U,Summer,8/21/2019,August,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1.25,0.208333333,,,,
Waddell,Amber & Gabby,R,Summer,8/28/2019,August,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Seabright,Amber & Gabby,U,Summer,9/1/2019,September,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.083333333,,,,
Capitola,Amber & Gabby,U,Summer,9/6/2019,September,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Main Beach,Amber,U,Summer,9/8/2019,September,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0.166666667,,,,
Natural Bridges,Alma,U,Summer,9/8/2019,September,1,4,5,0,1,1,0,0,0,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,4,9,13,3.25,0.541666667,,,,
Zmudowski South,Andrew & Draven,R,Summer,9/8/2019,September,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Live Oak,Amber & Gabby,U,Summer,9/11/2019,September,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0.166666667,,,,
Del Monte,Roxy & Amber,U,Summer,9/14/2019,September,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1.25,0.208333333,,,,
Marina,Gabby,U,Summer,9/14/2019,September,2,0,2,1,4,5,0,2,2,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,3.5,0.583333333,,,,
Zmudowski North,Amber & Gabby,R,Summer,9/15/2019,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.25,0.041666667,,,,
Sunset,Amber & Gabby,R,Summer,9/20/2019,September,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0.166666667,,,,
Seaside,Amber & Gabby,U,Summer,9/21/2019,September,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,6,7,1.75,0.291666667,,,,
Waddell,Amber & Gabby,R,Summer,9/22/2019,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.25,0.041666667,,,,
Natural Bridges,Amber & Gabby,U,Fall,10/5/2019,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,1,0.166666667,,,,
Capitola,Roxanne,U,Fall,10/6/2019,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Main Beach,Gabby,U,Fall,10/6/2019,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Marina,Julissa,U,Fall,10/6/2019,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Seabright,Alma,U,Fall,10/6/2019,October,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
